Call_log_ID,Date received,Complaint ID,Client_id,phone,vru+line,call_id,priority,type,outcome,server,ser_start,ser_exit,ser_time
2028,13/03/2012,CR0034731,C00000456,864-899-3917,AA0215,30868,0,NW,AGENT,BASCH,14:49:17,15:02:19,00:13:02
2029,13/03/2012,CR0034342,C00003280,506-762-1690,AA0104,30869,0,PS,AGENT,MORIAH,14:46:44,14:51:28,00:04:44
2030,13/03/2012,CR0034623,C00004743,508-477-1134,AA0201,30871,0,PS,AGENT,MORIAH,09:57:41,10:05:05,00:07:24
2031,13/03/2012,CR0034559,C00001586,781-721-9358,AA0101,30873,2,NE,AGENT,SHARON,16:41:16,16:51:37,00:10:21
2910,13/03/2012,CR0034615,C00001697,978-682-7779,AA0206,40505,0,PS,AGENT,TOVA,13:00:49,13:23:31,00:22:42
2911,13/03/2012,CR0034382,C00000674,327-140-9584,AA0109,40506,2,PS,AGENT,KAZAV,11:00:27,11:29:20,00:28:53
2912,13/03/2012,CR0034724,C00002211,858-047-2844,AA0202,40507,2,PS,AGENT,IDIT,13:45:19,14:04:53,00:19:34
2026,14/03/2012,CR0035157,C00004773,858-824-5946,AA0105,30866,0,PS,AGENT,STEREN,10:33:38,10:49:02,00:15:24
2027,14/03/2012,CR0035214,C00000385,428-628-9845,AA0202,30867,2,PS,AGENT,TOVA,13:21:29,13:30:03,00:08:34
2909,14/03/2012,CR0035414,C00002343,212-387-7039,AA0205,40504,0,PS,AGENT,SHARON,15:35:53,16:01:49,00:25:56
2024,15/03/2012,CR0035809,C00004505,455-164-5256,AA0209,30863,0,PS,AGENT,KAZAV,11:48:25,11:57:51,00:09:26
2025,15/03/2012,CR0035629,C00004680,500-398-8682,AA0210,30864,0,NW,AGENT,SHARON,12:16:53,12:34:09,00:17:16
2023,16/03/2012,CR0036342,C00002633,212-397-6951,AA0109,30862,2,NE,AGENT,AVIDAN,12:57:16,12:59:55,00:02:39
2021,19/03/2012,CR0036724,C00001986,553-427-2780,AA0214,30860,2,PS,AGENT,AVNI,11:03:58,11:14:44,00:10:46
2022,19/03/2012,CR0036743,C00004108,176-497-5000,AA0104,30861,1,PS,AGENT,KAZAV,11:26:36,11:35:41,00:09:05
2908,19/03/2012,CR0036596,C00002667,617-960-2229,AA0107,40503,0,PS,AGENT,IDIT,10:34:54,10:47:21,00:12:27
2019,20/03/2012,CR0037430,C00001683,506-209-1631,AA0109,30857,0,PS,AGENT,SHLOMO,10:12:48,10:29:48,00:17:00
2020,20/03/2012,CR0037324,C00004156,941-642-1711,AA0105,30858,0,PS,AGENT,TOVA,11:00:16,11:08:56,00:08:40
2016,22/03/2012,CR0039723,C00001818,566-506-3326,AA0209,30854,1,PS,AGENT,KAZAV,11:47:42,11:48:30,00:00:48
2017,22/03/2012,CR0039820,C00004448,135-224-5404,AA0102,30855,0,NW,AGENT,MORIAH,16:04:15,16:22:58,00:18:43
2018,22/03/2012,CR0039941,C00001066,212-658-7165,AA0111,30856,1,TT,AGENT,ZOHARI,14:44:07,15:00:16,00:16:09
2015,23/03/2012,CR0040526,C00013412,212-259-5250,AA0104,30853,0,NW,AGENT,AVNI,10:35:11,10:43:33,00:08:22
2012,26/03/2012,CR0041236,C00003020,273-113-9563,AA0206,30849,0,PS,AGENT,ZOHARI,12:39:38,12:49:06,00:09:28
2013,26/03/2012,CR0041258,C00003935,617-594-2704,AA0105,30850,0,NE,AGENT,ANAT,16:26:24,16:31:17,00:04:53
2014,26/03/2012,CR0040857,C00003408,538-172-6590,AA0214,30851,0,PS,AGENT,DARMON,11:54:18,12:00:54,00:06:36
2906,26/03/2012,CR0040806,C00004547,617-186-5055,AA0204,40501,0,NW,AGENT,TOVA,13:43:11,13:55:21,00:12:10
2907,26/03/2012,CR0041196,C00003061,508-775-5993,AA0213,40502,2,PS,AGENT,DARMON,14:34:05,14:48:04,00:13:59
2011,27/03/2012,CR0041721,C00003345,584-963-0146,AA0203,30846,2,PS,AGENT,SHARON,15:37:42,15:53:11,00:15:29
2905,27/03/2012,CR0041514,C00001593,617-886-8419,AA0213,40500,2,PS,AGENT,KAZAV,10:07:05,10:28:35,00:21:30
2007,28/03/2012,CR0042173,C00003259,617-952-6195,AA0115,30842,0,PS,AGENT,MIKI,13:55:28,14:10:11,00:14:43
2008,28/03/2012,CR0041936,C00004124,297-691-6625,AA0213,30843,0,NE,AGENT,ZOHARI,12:24:38,12:24:55,00:00:17
2009,28/03/2012,CR0042053,C00011598,788-948-1054,AA0206,30844,0,PS,AGENT,YITZ,16:21:12,16:25:43,00:04:31
2010,28/03/2012,CR0042314,C00002085,212-485-8919,AA0103,30845,0,NW,AGENT,MIKI,13:20:53,13:40:26,00:19:33
2904,29/03/2012,CR0042716,C00004222,781-768-0826,AA0214,40499,0,PS,AGENT,SHARON,11:02:55,11:17:18,00:14:23
2005,30/03/2012,CR0042896,C00002357,284-898-1361,AA0203,30838,2,PS,AGENT,STEREN,16:17:47,16:22:07,00:04:20
2006,30/03/2012,CR0042918,C00004904,967-674-0231,AA0205,30839,1,PS,AGENT,AVNI,11:06:14,11:10:07,00:03:53
2903,30/03/2012,CR0043046,C00002890,123-828-3437,AA0215,40498,1,PS,AGENT,STEREN,11:32:21,11:41:03,00:08:42
2902,02/04/2012,CR0043413,C00010702,618-501-7822,AA0213,40497,2,PS,AGENT,KAZAV,12:08:31,12:13:45,00:05:14
2002,03/04/2012,CR0043639,C00002815,259-293-9160,AA0108,30833,1,TT,AGENT,NO_SERVER,13:55:53,13:57:47,00:01:54
2003,03/04/2012,CR0043845,C00002425,589-152-4476,AA0213,30835,0,PS,AGENT,GILI,09:05:55,09:24:16,00:18:21
2004,03/04/2012,CR0043661,C00002747,222-045-5921,AA0101,30836,0,NW,AGENT,BASCH,10:37:02,10:39:45,00:02:43
2901,03/04/2012,CR0043714,C00002607,929-560-0417,AA0101,40496,1,NE,AGENT,AVIDAN,09:14:34,09:41:14,00:26:40
1999,04/04/2012,CR0043908,C00001179,212-391-0632,AA0215,30829,0,PS,AGENT,YIFAT,10:24:53,10:40:54,00:16:01
2000,04/04/2012,CR0043994,C00003766,212-395-0636,AA0203,30831,2,NE,AGENT,KAZAV,13:48:39,13:55:09,00:06:30
2001,04/04/2012,CR0044148,C00000384,668-716-0845,AA0102,30832,0,NW,AGENT,YIFAT,14:17:10,14:31:50,00:14:40
2900,04/04/2012,CR0043901,C00010563,438-969-9520,AA0110,40495,2,PS,AGENT,YITZ,11:27:28,11:34:46,00:07:18
1997,05/04/2012,CR0044567,C00002371,610-520-7079,AA0214,30827,0,NW,AGENT,BENSION,12:25:21,12:29:20,00:03:59
1998,05/04/2012,CR0044528,C00002345,631-530-8763,AA0214,30828,0,NW,AGENT,SHARON,11:41:16,11:41:51,00:00:35
1995,06/04/2012,CR0044798,C00003211,919-427-4281,AA0213,30823,0,PS,AGENT,TOVA,12:38:40,12:53:28,00:14:48
1996,06/04/2012,CR0044824,C00008463,585-952-8793,AA0202,30825,2,PS,AGENT,IDIT,14:11:55,14:17:39,00:05:44
2899,06/04/2012,CR0044750,C00002070,713-993-1632,AA0202,40494,2,PS,AGENT,BENSION,09:11:52,09:21:59,00:10:07
1992,09/04/2012,CR0045163,C00003519,223-993-8335,AA0206,30819,0,PS,AGENT,ELI,16:37:35,16:53:13,00:15:38
1993,09/04/2012,CR0045016,C00004001,978-114-4033,AA0104,30820,0,PS,AGENT,TOVA,10:03:09,10:12:48,00:09:39
1994,09/04/2012,CR0045310,C00003927,508-179-0609,AA0210,30821,2,PS,AGENT,ZOHARI,14:20:24,14:29:44,00:09:20
2898,09/04/2012,CR0044941,C00000414,488-977-5369,AA0106,40493,2,NW,AGENT,IDIT,12:47:25,13:16:05,00:28:40
1989,10/04/2012,CR0054688,C00003073,212-652-6762,AA0210,30815,0,NW,AGENT,YITZ,10:45:58,10:50:50,00:04:52
1990,10/04/2012,CR0054705,C00004037,212-441-2914,AA0106,30817,2,PS,AGENT,BENSION,11:59:56,12:08:17,00:08:21
1991,10/04/2012,CR0053969,C00004241,960-786-0262,AA0109,30818,0,PS,AGENT,DORIT,16:15:38,16:28:33,00:12:55
2897,10/04/2012,CR0054623,C00000310,726-281-9507,AA0107,40492,1,PS,AGENT,ANAT,09:39:49,09:58:11,00:18:22
1981,11/04/2012,CR0055174,C00001359,212-480-2987,AA0214,30807,2,PS,AGENT,ZOHARI,14:16:29,14:27:02,00:10:33
1982,11/04/2012,CR0056063,C00002911,295-457-8932,AA0105,30808,0,NW,AGENT,MICHAL,09:46:46,09:49:12,00:02:26
1983,11/04/2012,CR0055912,C00002124,819-831-7432,AA0202,30809,2,PS,AGENT,SHARON,14:26:20,14:38:40,00:12:20
1984,11/04/2012,CR0055024,C00001706,758-172-3713,AA0205,30810,0,NW,AGENT,KAZAV,11:32:36,11:35:15,00:02:39
1985,11/04/2012,CR0055405,C00003530,609-391-1588,AA0202,30811,1,PS,AGENT,YITZ,13:46:03,13:49:58,00:03:55
1986,11/04/2012,CR0055862,C00001948,617-545-1746,AA0103,30812,2,PS,AGENT,DORIT,09:57:15,09:57:35,00:00:20
1987,11/04/2012,CR0056064,C00001583,212-119-8291,AA0206,30813,0,NE,AGENT,ZOHARI,14:04:28,14:08:47,00:04:19
1988,11/04/2012,CR0055963,C00002152,286-593-2095,AA0205,30814,0,NW,AGENT,IDIT,09:38:40,09:45:50,00:07:10
1980,12/04/2012,CR0056553,C00000361,676-434-9767,AA0213,30806,0,PS,AGENT,BENSION,16:12:34,16:28:42,00:16:08
1976,13/04/2012,CR0057644,C00007422,893-427-1196,AA0113,30802,0,NW,AGENT,TOVA,14:08:22,14:15:41,00:07:19
1977,13/04/2012,CR0057828,C00000752,480-455-5852,AA0210,30803,0,NW,AGENT,IDIT,14:15:47,14:33:25,00:17:38
1978,13/04/2012,CR0057887,C00000569,983-117-4618,AA0213,30804,0,PS,AGENT,NO_SERVER,13:09:01,13:22:20,00:13:19
1979,13/04/2012,CR0057825,C00000893,596-089-6158,AA0203,30805,2,PS,AGENT,DORIT,16:51:50,16:52:23,00:00:33
2896,13/04/2012,CR0057534,C00003195,284-588-4005,AA0209,40491,1,PS,AGENT,TOVA,14:13:04,14:20:05,00:07:01
1972,16/04/2012,CR0058621,C00003559,508-556-8376,AA0104,30797,1,PS,AGENT,SHARON,13:43:30,13:59:00,00:15:30
1973,16/04/2012,CR0058907,C00002930,743-738-0264,AA0113,30798,0,NW,AGENT,MICHAL,10:43:07,10:44:09,00:01:02
1974,16/04/2012,CR0058580,C00003904,619-439-1402,AA0209,30799,0,PS,AGENT,YITZ,12:14:33,12:32:29,00:17:56
1975,16/04/2012,CR0058953,C00003610,830-310-9314,AA0205,30800,2,PS,AGENT,BASCH,11:16:52,11:32:54,00:16:02
1969,17/04/2012,CR0059730,C00001373,841-333-2623,AA0105,30794,1,PS,AGENT,ANAT,11:56:21,12:13:54,00:17:33
1970,17/04/2012,CR0059372,C00003954,861-154-7975,AA0102,30795,2,PS,AGENT,STEREN,09:03:30,09:22:59,00:19:29
1971,17/04/2012,CR0059404,C00010555,212-354-7928,AA0215,30796,1,PS,AGENT,AVNI,11:49:48,12:10:36,00:20:48
1967,18/04/2012,CR0060241,C00004043,691-232-9348,AA0106,30792,0,PS,AGENT,BENSION,09:58:07,10:01:52,00:03:45
1968,18/04/2012,CR0060587,C00002440,839-294-7747,AA0213,30793,1,PS,AGENT,MIKI,10:49:52,11:04:19,00:14:27
1963,19/04/2012,CR0061335,C00003903,212-987-3591,AA0215,30787,0,NE,AGENT,AVIDAN,14:12:09,14:32:12,00:20:03
1964,19/04/2012,CR0061314,C00009930,617-242-3776,AA0206,30788,2,PS,AGENT,MIKI,10:41:11,10:51:21,00:10:10
1965,19/04/2012,CR0061317,C00002832,261-752-0589,AA0102,30789,2,PS,AGENT,STEREN,15:21:02,15:35:55,00:14:53
1966,19/04/2012,CR0061285,C00000582,212-908-9336,AA0203,30791,1,PS,AGENT,ANAT,14:04:53,14:21:35,00:16:42
2895,19/04/2012,CR0061148,C00011979,150-012-9925,AA0215,40490,1,PS,AGENT,KAZAV,12:07:27,12:31:58,00:24:31
1960,20/04/2012,CR0061726,C00009798,978-970-5774,AA0115,30784,2,PS,AGENT,IDIT,11:25:29,11:45:12,00:19:43
1961,20/04/2012,CR0061695,C00002588,567-262-7509,AA0110,30785,0,PS,AGENT,IDIT,15:46:56,15:49:56,00:03:00
1962,20/04/2012,CR0062622,C00002879,554-219-7851,AA0115,30786,2,PS,AGENT,YITZ,10:27:54,10:34:09,00:06:15
1959,23/04/2012,CR0063364,C00003031,645-843-1783,AA0116,30783,0,IN,AGENT,YITZ,11:07:22,11:14:31,00:07:09
1957,24/04/2012,CR0064558,C00004972,602-336-8520,AA0105,30780,2,PS,AGENT,YITZ,15:07:54,15:12:10,00:04:16
1958,24/04/2012,CR0064293,C00001852,716-042-9497,AA0113,30781,2,PS,AGENT,SHARON,12:55:37,13:00:59,00:05:22
1953,25/04/2012,CR0065086,C00003901,978-961-6708,AA0109,30776,2,PS,AGENT,BASCH,12:51:48,13:04:31,00:12:43
1954,25/04/2012,CR0065447,C00002944,617-088-9342,AA0102,30777,0,PS,AGENT,YIFAT,11:09:14,11:16:15,00:07:01
1955,25/04/2012,CR0064419,C00001476,429-570-1786,AA0213,30778,0,NW,AGENT,STEREN,13:11:31,13:17:51,00:06:20
1956,25/04/2012,CR0065104,C00011275,318-005-2715,AA0103,30779,1,PS,AGENT,YIFAT,14:56:03,15:10:38,00:14:35
1951,26/04/2012,CR0066181,C00001690,878-248-1994,AA0104,30774,0,PS,AGENT,SHLOMO,15:47:00,16:06:05,00:19:05
1952,26/04/2012,CR0065649,C00013694,212-857-6592,AA0109,30775,0,PS,AGENT,BENSION,12:36:45,12:44:31,00:07:46
1947,27/04/2012,CR0066702,C00004593,445-958-5377,AA0206,30770,2,PS,AGENT,IDIT,10:21:55,10:42:50,00:20:55
1948,27/04/2012,CR0066588,C00000508,407-173-7652,AA0204,30771,2,PS,AGENT,KAZAV,15:04:38,15:10:34,00:05:56
1949,27/04/2012,CR0066525,C00001669,143-969-3919,AA0108,30772,1,TT,AGENT,AVNI,10:37:40,10:54:50,00:17:10
1950,27/04/2012,CR0066942,C00002873,147-990-6374,AA0205,30773,0,NW,AGENT,YIFAT,11:58:46,12:06:34,00:07:48
1944,30/04/2012,CR0068083,C00000749,703-691-3813,AA0105,30766,0,PS,AGENT,TOVA,13:34:44,13:54:17,00:19:33
1945,30/04/2012,CR0067650,C00001733,508-367-3298,AA0102,30767,1,PS,AGENT,KAZAV,11:28:06,11:40:58,00:12:52
1946,30/04/2012,CR0067618,C00000935,331-145-8845,AA0106,30769,1,PS,AGENT,MICHAL,12:54:57,12:55:13,00:00:16
2894,30/04/2012,CR0067856,C00003456,709-146-4033,AA0106,40489,1,PS,AGENT,MICHAL,10:54:32,11:15:24,00:20:52
1941,01/05/2012,CR0068641,C00004784,658-845-3868,AA0103,30763,2,PS,AGENT,SHARON,10:29:13,10:45:03,00:15:50
1942,01/05/2012,CR0068676,C00003470,114-406-9537,AA0113,30764,1,PS,AGENT,IDIT,14:30:54,14:51:52,00:20:58
1943,01/05/2012,CR0068403,C00006422,496-120-8636,AA0102,30765,1,PS,AGENT,DARMON,16:58:12,16:59:18,00:01:06
2893,01/05/2012,CR0068499,C00002420,787-372-9637,AA0112,40488,0,PS,AGENT,MIKI,09:13:30,09:40:45,00:27:15
1940,02/05/2012,CR0069197,C00001453,600-313-9205,AA0102,30760,0,PS,AGENT,STEREN,15:38:25,15:52:26,00:14:01
2892,02/05/2012,CR0069276,C00005462,617-285-1067,AA0214,40487,2,NE,AGENT,ELI,15:48:24,15:58:57,00:10:33
1939,03/05/2012,CR0070689,C00004143,293-583-5860,AA0109,30759,0,NE,AGENT,ELI,11:52:06,12:08:52,00:16:46
1937,04/05/2012,CR0071399,C00003558,212-622-2873,AA0205,30757,1,PS,AGENT,MIKI,14:08:37,14:24:56,00:16:19
1938,04/05/2012,CR0071359,C00002185,178-066-5251,AA0204,30758,0,NW,AGENT,SHLOMO,16:01:30,16:08:30,00:07:00
1933,07/05/2012,CR0072165,C00001083,508-951-2034,AA0204,30752,1,PS,AGENT,YITZ,14:52:00,15:03:51,00:11:51
1934,07/05/2012,CR0072500,C00003596,602-319-7593,AA0215,30753,0,NE,AGENT,ZOHARI,14:15:36,14:21:03,00:05:27
1935,07/05/2012,CR0072457,C00000504,216-336-1409,AA0214,30754,2,PS,AGENT,SHARON,09:48:24,10:09:06,00:20:42
1936,07/05/2012,CR0072526,C00003494,932-385-2125,AA0206,30755,0,PS,AGENT,STEREN,15:05:58,15:09:16,00:03:18
2891,07/05/2012,CR0072299,C00000029,825-520-4294,AA0101,40486,2,PS,AGENT,BASCH,11:03:27,11:10:19,00:06:52
1930,08/05/2012,CR0073396,C00002181,175-752-2846,AA0110,30748,2,PS,AGENT,KAZAV,16:59:00,17:01:28,00:02:28
1931,08/05/2012,CR0028257,C00004584,665-118-6190,AA0205,30749,2,NW,AGENT,KAZAV,14:39:41,14:57:35,00:17:54
1932,08/05/2012,CR0073198,C00000365,212-082-8941,AA0205,30751,0,PS,AGENT,STEREN,09:51:32,10:07:12,00:15:40
2890,08/05/2012,CR0073167,C00010702,618-501-7822,AA0102,40485,1,PS,AGENT,SHLOMO,14:43:01,15:09:58,00:26:57
1929,09/05/2012,CR0074020,C00004369,702-770-3616,AA0105,30747,2,PS,AGENT,MIKI,14:16:41,14:31:52,00:15:11
2889,09/05/2012,CR0074493,C00000391,918-665-8581,AA0115,40484,0,PS,AGENT,MORIAH,12:45:53,13:03:13,00:17:20
1926,10/05/2012,CR0074942,C00002417,508-826-9957,AA0205,30743,2,PS,AGENT,KAZAV,11:41:43,11:49:35,00:07:52
1927,10/05/2012,CR0074833,C00004133,823-652-6542,AA0203,30744,1,PS,AGENT,IDIT,10:06:04,10:16:55,00:10:51
1928,10/05/2012,CR0074997,C00000628,671-044-6259,AA0116,30745,0,IN,AGENT,ANAT,10:22:53,10:34:21,00:11:28
1923,11/05/2012,CR0076747,C00004772,138-247-9484,AA0105,30740,0,PS,AGENT,YITZ,14:38:57,14:43:19,00:04:22
1924,11/05/2012,CR0075611,C00000651,212-527-2673,AA0213,30741,1,PS,AGENT,MICHAL,15:06:58,15:27:24,00:20:26
1925,11/05/2012,CR0075762,C00001090,509-489-8325,AA0213,30742,0,PS,AGENT,ANAT,14:36:08,14:41:44,00:05:36
1921,14/05/2012,CR0077092,C00000215,617-618-0272,AA0209,30738,0,NW,AGENT,MICHAL,13:12:14,13:19:00,00:06:46
1922,14/05/2012,CR0076947,C00003399,669-336-3502,AA0204,30739,0,PS,AGENT,BASCH,15:46:44,15:49:09,00:02:25
1919,15/05/2012,CR0078576,C00001723,617-320-8986,AA0202,30736,2,PS,AGENT,YITZ,16:14:36,16:24:21,00:09:45
1920,15/05/2012,CR0078456,C00003406,261-544-9425,AA0101,30737,2,NE,AGENT,AVNI,10:47:04,11:00:03,00:12:59
1918,16/05/2012,CR0080129,C00002736,212-737-9510,AA0104,30735,0,PS,AGENT,YITZ,11:33:53,11:43:48,00:09:55
1917,17/05/2012,CR0082728,C00011331,901-795-9591,AA0213,30734,0,PE,AGENT,TOVA,16:36:17,16:47:46,00:11:29
1914,18/05/2012,CR0084101,C00001810,752-758-3119,AA0115,30730,1,PS,AGENT,YIFAT,14:17:05,14:31:23,00:14:18
1915,18/05/2012,CR0083534,C00002427,685-988-8595,AA0205,30731,0,PS,AGENT,MORIAH,15:24:20,15:45:01,00:20:41
1916,18/05/2012,CR0084018,C00002731,729-397-5861,AA0203,30733,2,PS,AGENT,KAZAV,10:33:57,10:44:43,00:10:46
2939,18/05/2012,CR0083830,C00000019,955-299-0340,AA0202,40534,0,PS,AGENT,MORIAH,09:12:52,09:18:15,00:05:23
1911,21/05/2012,CR0000175,C00001231,725-738-6179,AA0101,30726,2,NE,AGENT,ANAT,16:11:09,16:16:23,00:05:14
1912,21/05/2012,CR0086445,C00009664,976-330-3665,AA0214,30727,2,NE,AGENT,ZOHARI,12:17:51,12:24:22,00:06:31
1913,21/05/2012,CR0000084,C00001366,525-399-7364,AA0103,30728,0,PS,AGENT,BENSION,14:57:32,14:58:03,00:00:31
2888,21/05/2012,CR0000072,C00003714,888-142-1355,AA0210,40483,0,PS,AGENT,BASCH,15:05:49,15:31:33,00:25:44
1908,22/05/2012,CR0000298,C00001752,250-631-9312,AA0206,30723,0,NW,AGENT,AVNI,14:53:44,15:06:27,00:12:43
1909,22/05/2012,CR0042384,C00004327,726-230-0580,AA0214,30724,1,PS,AGENT,YITZ,12:06:06,12:18:53,00:12:47
1910,22/05/2012,CR0000895,C00001998,620-189-8365,AA0104,30725,1,PS,AGENT,BASCH,13:05:11,13:08:04,00:02:53
1905,23/05/2012,CR0001080,C00002867,532-977-4372,AA0106,30720,2,PS,AGENT,SHARON,15:15:05,15:25:22,00:10:17
1906,23/05/2012,CR0001710,C00004522,386-743-7973,AA0109,30721,2,PS,AGENT,KAZAV,14:04:43,14:13:13,00:08:30
1907,23/05/2012,CR0001341,C00000960,509-169-6737,AA0103,30722,0,PS,AGENT,AVNI,16:25:50,16:46:42,00:20:52
